Year;Value;Country;Region;Income group
1980;;Aruba;Latin America & Caribbean;High income
1981;;Aruba;Latin America & Caribbean;High income
1982;;Aruba;Latin America & Caribbean;High income
1983;;Aruba;Latin America & Caribbean;High income
1984;;Aruba;Latin America & Caribbean;High income
1985;;Aruba;Latin America & Caribbean;High income
1986;;Aruba;Latin America & Caribbean;High income
1987;;Aruba;Latin America & Caribbean;High income
1988;;Aruba;Latin America & Caribbean;High income
1989;;Aruba;Latin America & Caribbean;High income
1990;;Aruba;Latin America & Caribbean;High income
1991;;Aruba;Latin America & Caribbean;High income
1992;;Aruba;Latin America & Caribbean;High income
1993;;Aruba;Latin America & Caribbean;High income
1994;;Aruba;Latin America & Caribbean;High income
1995;;Aruba;Latin America & Caribbean;High income
1996;;Aruba;Latin America & Caribbean;High income
1997;;Aruba;Latin America & Caribbean;High income
1998;;Aruba;Latin America & Caribbean;High income
1999;;Aruba;Latin America & Caribbean;High income
2000;;Aruba;Latin America & Caribbean;High income
2001;;Aruba;Latin America & Caribbean;High income
2002;;Aruba;Latin America & Caribbean;High income
2003;;Aruba;Latin America & Caribbean;High income
2004;;Aruba;Latin America & Caribbean;High income
2005;;Aruba;Latin America & Caribbean;High income
2006;;Aruba;Latin America & Caribbean;High income
2007;;Aruba;Latin America & Caribbean;High income
2008;;Aruba;Latin America & Caribbean;High income
2009;;Aruba;Latin America & Caribbean;High income
2010;;Aruba;Latin America & Caribbean;High income
2011;;Aruba;Latin America & Caribbean;High income
2012;;Aruba;Latin America & Caribbean;High income
2013;;Aruba;Latin America & Caribbean;High income
2014;;Aruba;Latin America & Caribbean;High income
2015;;Aruba;Latin America & Caribbean;High income
2016;;Aruba;Latin America & Caribbean;High income
1980;;Afghanistan;South Asia;Low income
1981;;Afghanistan;South Asia;Low income
1982;;Afghanistan;South Asia;Low income
1983;;Afghanistan;South Asia;Low income
1984;;Afghanistan;South Asia;Low income
1985;;Afghanistan;South Asia;Low income
1986;;Afghanistan;South Asia;Low income
1987;;Afghanistan;South Asia;Low income
1988;;Afghanistan;South Asia;Low income
1989;;Afghanistan;South Asia;Low income
1990;;Afghanistan;South Asia;Low income
1991;;Afghanistan;South Asia;Low income
1992;;Afghanistan;South Asia;Low income
1993;;Afghanistan;South Asia;Low income
1994;;Afghanistan;South Asia;Low income
1995;;Afghanistan;South Asia;Low income
1996;;Afghanistan;South Asia;Low income
1997;;Afghanistan;South Asia;Low income
1998;;Afghanistan;South Asia;Low income
1999;;Afghanistan;South Asia;Low income
2000;;Afghanistan;South Asia;Low income
2001;;Afghanistan;South Asia;Low income
2002;;Afghanistan;South Asia;Low income
2003;;Afghanistan;South Asia;Low income
2004;;Afghanistan;South Asia;Low income
2005;;Afghanistan;South Asia;Low income
2006;;Afghanistan;South Asia;Low income
2007;;Afghanistan;South Asia;Low income
2008;;Afghanistan;South Asia;Low income
2009;;Afghanistan;South Asia;Low income
2010;;Afghanistan;South Asia;Low income
2011;;Afghanistan;South Asia;Low income
2012;;Afghanistan;South Asia;Low income
2013;;Afghanistan;South Asia;Low income
2014;;Afghanistan;South Asia;Low income
2015;;Afghanistan;South Asia;Low income
2016;;Afghanistan;South Asia;Low income
1980;;Angola;Sub-Saharan Africa;Lower middle income
1981;;Angola;Sub-Saharan Africa;Lower middle income
1982;;Angola;Sub-Saharan Africa;Lower middle income
1983;;Angola;Sub-Saharan Africa;Lower middle income
1984;;Angola;Sub-Saharan Africa;Lower middle income
1985;;Angola;Sub-Saharan Africa;Lower middle income
1986;;Angola;Sub-Saharan Africa;Lower middle income
1987;;Angola;Sub-Saharan Africa;Lower middle income
1988;;Angola;Sub-Saharan Africa;Lower middle income
1989;;Angola;Sub-Saharan Africa;Lower middle income
1990;;Angola;Sub-Saharan Africa;Lower middle income
1991;;Angola;Sub-Saharan Africa;Lower middle income
1992;;Angola;Sub-Saharan Africa;Lower middle income
1993;;Angola;Sub-Saharan Africa;Lower middle income
1994;;Angola;Sub-Saharan Africa;Lower middle income
1995;;Angola;Sub-Saharan Africa;Lower middle income
1996;;Angola;Sub-Saharan Africa;Lower middle income
1997;;Angola;Sub-Saharan Africa;Lower middle income
1998;;Angola;Sub-Saharan Africa;Lower middle income
1999;;Angola;Sub-Saharan Africa;Lower middle income
2000;;Angola;Sub-Saharan Africa;Lower middle income
2001;;Angola;Sub-Saharan Africa;Lower middle income
2002;;Angola;Sub-Saharan Africa;Lower middle income
2003;;Angola;Sub-Saharan Africa;Lower middle income
2004;;Angola;Sub-Saharan Africa;Lower middle income
2005;;Angola;Sub-Saharan Africa;Lower middle income
2006;;Angola;Sub-Saharan Africa;Lower middle income
2007;;Angola;Sub-Saharan Africa;Lower middle income
2008;30,1;Angola;Sub-Saharan Africa;Lower middle income
2009;;Angola;Sub-Saharan Africa;Lower middle income
2010;;Angola;Sub-Saharan Africa;Lower middle income
2011;;Angola;Sub-Saharan Africa;Lower middle income
2012;;Angola;Sub-Saharan Africa;Lower middle income
2013;;Angola;Sub-Saharan Africa;Lower middle income
2014;;Angola;Sub-Saharan Africa;Lower middle income
2015;;Angola;Sub-Saharan Africa;Lower middle income
2016;;Angola;Sub-Saharan Africa;Lower middle income
1980;;Albania;Europe & Central Asia;Upper middle income
1981;;Albania;Europe & Central Asia;Upper middle income
1982;;Albania;Europe & Central Asia;Upper middle income
1983;;Albania;Europe & Central Asia;Upper middle income
1984;;Albania;Europe & Central Asia;Upper middle income
1985;;Albania;Europe & Central Asia;Upper middle income
1986;;Albania;Europe & Central Asia;Upper middle income
1987;;Albania;Europe & Central Asia;Upper middle income
1988;;Albania;Europe & Central Asia;Upper middle income
1989;;Albania;Europe & Central Asia;Upper middle income
1990;;Albania;Europe & Central Asia;Upper middle income
1991;;Albania;Europe & Central Asia;Upper middle income
1992;;Albania;Europe & Central Asia;Upper middle income
1993;;Albania;Europe & Central Asia;Upper middle income
1994;;Albania;Europe & Central Asia;Upper middle income
1995;;Albania;Europe & Central Asia;Upper middle income
1996;1,1;Albania;Europe & Central Asia;Upper middle income
1997;;Albania;Europe & Central Asia;Upper middle income
1998;;Albania;Europe & Central Asia;Upper middle income
1999;;Albania;Europe & Central Asia;Upper middle income
2000;;Albania;Europe & Central Asia;Upper middle income
2001;;Albania;Europe & Central Asia;Upper middle income
2002;2;Albania;Europe & Central Asia;Upper middle income
2003;;Albania;Europe & Central Asia;Upper middle income
2004;;Albania;Europe & Central Asia;Upper middle income
2005;1,1;Albania;Europe & Central Asia;Upper middle income
2006;;Albania;Europe & Central Asia;Upper middle income
2007;;Albania;Europe & Central Asia;Upper middle income
2008;0,4;Albania;Europe & Central Asia;Upper middle income
2009;;Albania;Europe & Central Asia;Upper middle income
2010;;Albania;Europe & Central Asia;Upper middle income
2011;;Albania;Europe & Central Asia;Upper middle income
2012;1,1;Albania;Europe & Central Asia;Upper middle income
2013;;Albania;Europe & Central Asia;Upper middle income
2014;;Albania;Europe & Central Asia;Upper middle income
2015;;Albania;Europe & Central Asia;Upper middle income
2016;;Albania;Europe & Central Asia;Upper middle income
1980;;Andorra;Europe & Central Asia;High income
1981;;Andorra;Europe & Central Asia;High income
1982;;Andorra;Europe & Central Asia;High income
1983;;Andorra;Europe & Central Asia;High income
1984;;Andorra;Europe & Central Asia;High income
1985;;Andorra;Europe & Central Asia;High income
1986;;Andorra;Europe & Central Asia;High income
1987;;Andorra;Europe & Central Asia;High income
1988;;Andorra;Europe & Central Asia;High income
1989;;Andorra;Europe & Central Asia;High income
1990;;Andorra;Europe & Central Asia;High income
1991;;Andorra;Europe & Central Asia;High income
1992;;Andorra;Europe & Central Asia;High income
1993;;Andorra;Europe & Central Asia;High income
1994;;Andorra;Europe & Central Asia;High income
1995;;Andorra;Europe & Central Asia;High income
1996;;Andorra;Europe & Central Asia;High income
1997;;Andorra;Europe & Central Asia;High income
1998;;Andorra;Europe & Central Asia;High income
1999;;Andorra;Europe & Central Asia;High income
2000;;Andorra;Europe & Central Asia;High income
2001;;Andorra;Europe & Central Asia;High income
2002;;Andorra;Europe & Central Asia;High income
2003;;Andorra;Europe & Central Asia;High income
2004;;Andorra;Europe & Central Asia;High income
2005;;Andorra;Europe & Central Asia;High income
2006;;Andorra;Europe & Central Asia;High income
2007;;Andorra;Europe & Central Asia;High income
2008;;Andorra;Europe & Central Asia;High income
