Year;Value;Country;Region;Income group
2000;46,1;Afghanistan;South Asia;Low income
2001;46,4;Afghanistan;South Asia;Low income
2002;43,7;Afghanistan;South Asia;Low income
2003;39,8;Afghanistan;South Asia;Low income
2004;36,1;Afghanistan;South Asia;Low income
2005;33,2;Afghanistan;South Asia;Low income
2006;30,2;Afghanistan;South Asia;Low income
2007;27,1;Afghanistan;South Asia;Low income
2008;24,6;Afghanistan;South Asia;Low income
2009;23;Afghanistan;South Asia;Low income
2010;22,3;Afghanistan;South Asia;Low income
2011;22,2;Afghanistan;South Asia;Low income
2012;22,7;Afghanistan;South Asia;Low income
2013;23,4;Afghanistan;South Asia;Low income
2014;23,8;Afghanistan;South Asia;Low income
2015;23;Afghanistan;South Asia;Low income
2000;7,2;Albania;Europe & Central Asia;Upper middle income
2001;7,8;Albania;Europe & Central Asia;Upper middle income
2002;8,7;Albania;Europe & Central Asia;Upper middle income
2003;9,7;Albania;Europe & Central Asia;Upper middle income
2004;10,7;Albania;Europe & Central Asia;Upper middle income
2005;11,1;Albania;Europe & Central Asia;Upper middle income
2006;11;Albania;Europe & Central Asia;Upper middle income
2007;10,5;Albania;Europe & Central Asia;Upper middle income
2008;9,7;Albania;Europe & Central Asia;Upper middle income
2009;8,7;Albania;Europe & Central Asia;Upper middle income
2010;7,6;Albania;Europe & Central Asia;Upper middle income
2011;6,7;Albania;Europe & Central Asia;Upper middle income
2012;6;Albania;Europe & Central Asia;Upper middle income
2013;5,5;Albania;Europe & Central Asia;Upper middle income
2014;5,1;Albania;Europe & Central Asia;Upper middle income
2015;4,9;Albania;Europe & Central Asia;Upper middle income
2000;10,7;Algeria;Middle East & North Africa;Upper middle income
2001;10,2;Algeria;Middle East & North Africa;Upper middle income
2002;9,7;Algeria;Middle East & North Africa;Upper middle income
2003;9,3;Algeria;Middle East & North Africa;Upper middle income
2004;9;Algeria;Middle East & North Africa;Upper middle income
2005;8,8;Algeria;Middle East & North Africa;Upper middle income
2006;8,4;Algeria;Middle East & North Africa;Upper middle income
2007;8;Algeria;Middle East & North Africa;Upper middle income
2008;7,5;Algeria;Middle East & North Africa;Upper middle income
2009;7;Algeria;Middle East & North Africa;Upper middle income
2010;6,3;Algeria;Middle East & North Africa;Upper middle income
2011;5,6;Algeria;Middle East & North Africa;Upper middle income
2012;5;Algeria;Middle East & North Africa;Upper middle income
2013;4,7;Algeria;Middle East & North Africa;Upper middle income
2014;4,6;Algeria;Middle East & North Africa;Upper middle income
2015;4,6;Algeria;Middle East & North Africa;Upper middle income
2000;50;Angola;Sub-Saharan Africa;Lower middle income
2001;46,7;Angola;Sub-Saharan Africa;Lower middle income
2002;42,7;Angola;Sub-Saharan Africa;Lower middle income
2003;38,6;Angola;Sub-Saharan Africa;Lower middle income
2004;35;Angola;Sub-Saharan Africa;Lower middle income
2005;32,1;Angola;Sub-Saharan Africa;Lower middle income
2006;29,3;Angola;Sub-Saharan Africa;Lower middle income
2007;26,5;Angola;Sub-Saharan Africa;Lower middle income
2008;23,7;Angola;Sub-Saharan Africa;Lower middle income
2009;21,3;Angola;Sub-Saharan Africa;Lower middle income
2010;19,4;Angola;Sub-Saharan Africa;Lower middle income
2011;17,9;Angola;Sub-Saharan Africa;Lower middle income
2012;16,7;Angola;Sub-Saharan Africa;Lower middle income
2013;15,3;Angola;Sub-Saharan Africa;Lower middle income
2014;14,4;Angola;Sub-Saharan Africa;Lower middle income
2015;14;Angola;Sub-Saharan Africa;Lower middle income
2000;40;Antigua and Barbuda;Latin America & Caribbean;High income
2001;42,1;Antigua and Barbuda;Latin America & Caribbean;High income
2002;43,5;Antigua and Barbuda;Latin America & Caribbean;High income
2003;41,9;Antigua and Barbuda;Latin America & Caribbean;High income
2004;37,6;Antigua and Barbuda;Latin America & Caribbean;High income
2005;31,5;Antigua and Barbuda;Latin America & Caribbean;High income
2006;27,4;Antigua and Barbuda;Latin America & Caribbean;High income
2007;25,4;Antigua and Barbuda;Latin America & Caribbean;High income
2008;26,1;Antigua and Barbuda;Latin America & Caribbean;High income
2009;27;Antigua and Barbuda;Latin America & Caribbean;High income
2010;28,1;Antigua and Barbuda;Latin America & Caribbean;High income
2011;27,8;Antigua and Barbuda;Latin America & Caribbean;High income
2012;27,8;Antigua and Barbuda;Latin America & Caribbean;High income
2013;27,1;Antigua and Barbuda;Latin America & Caribbean;High income
2014;27,2;Antigua and Barbuda;Latin America & Caribbean;High income
2015;26,7;Antigua and Barbuda;Latin America & Caribbean;High income
2000;3,5;Argentina;Latin America & Caribbean;High income
2001;4,1;Argentina;Latin America & Caribbean;High income
2002;4,9;Argentina;Latin America & Caribbean;High income
2003;5,3;Argentina;Latin America & Caribbean;High income
2004;5,2;Argentina;Latin America & Caribbean;High income
2005;4,7;Argentina;Latin America & Caribbean;High income
2006;4,4;Argentina;Latin America & Caribbean;High income
2007;4,2;Argentina;Latin America & Caribbean;High income
